epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,163.626,0.87016,1.47854,0.99184,0.91707,0.86366,0.92805,0.74825,0.73843,0.86094,0.93845,0.000665072,0.000665072,0.000665072
2,305.351,0.86778,0.8201,1.00184,0.90957,0.86649,0.93309,0.74352,0.79666,0.67411,0.96507,0.00130537,0.00130537,0.00130537
3,444.96,0.85436,0.72114,1.00012,0.89998,0.88898,0.9356,0.74186,0.75761,0.62634,0.95726,0.00191927,0.00191927,0.00191927
4,584.367,0.81691,0.64978,0.98864,0.92029,0.89987,0.94932,0.74905,0.81414,0.6267,1.00784,0.0018812,0.0018812,0.0018812
5,723.853,0.79158,0.61333,0.97803,0.90701,0.91455,0.95237,0.79732,0.65186,0.5498,0.92212,0.0018416,0.0018416,0.0018416
6,863.838,0.74201,0.57318,0.96006,0.93594,0.91188,0.96254,0.82491,0.59567,0.471,0.91032,0.001802,0.001802,0.001802
7,1001.83,0.72534,0.55077,0.95272,0.94304,0.8992,0.95587,0.82353,0.6107,0.49694,0.90543,0.0017624,0.0017624,0.0017624
8,1141.53,0.7045,0.53085,0.94685,0.94867,0.92523,0.97114,0.84557,0.57776,0.44349,0.91705,0.0017228,0.0017228,0.0017228
9,1276.16,0.69499,0.51411,0.94339,0.94158,0.93658,0.96987,0.84575,0.56432,0.42447,0.88946,0.0016832,0.0016832,0.0016832
10,1411.49,0.67755,0.49727,0.93519,0.93336,0.93495,0.96795,0.84309,0.55867,0.41873,0.88834,0.0016436,0.0016436,0.0016436
11,1547.9,0.6622,0.48085,0.92892,0.94348,0.93609,0.97102,0.84533,0.56224,0.42824,0.89094,0.001604,0.001604,0.001604
12,1684.59,0.65513,0.48108,0.92932,0.95352,0.93114,0.97455,0.85668,0.55834,0.39857,0.88925,0.0015644,0.0015644,0.0015644
13,1821.39,0.64255,0.45961,0.92261,0.95551,0.92523,0.97217,0.84613,0.55735,0.39098,0.88751,0.0015248,0.0015248,0.0015248
14,1951.06,0.63768,0.45994,0.921,0.94457,0.93284,0.97189,0.85966,0.53173,0.39443,0.88507,0.0014852,0.0014852,0.0014852
15,2077.55,0.62498,0.44495,0.91721,0.95068,0.93725,0.97641,0.8718,0.51471,0.36926,0.87807,0.0014456,0.0014456,0.0014456
16,2206.59,0.61605,0.44295,0.9093,0.95067,0.94326,0.97517,0.87019,0.51492,0.38319,0.87051,0.001406,0.001406,0.001406
17,2335.99,0.61672,0.44396,0.91444,0.94645,0.94379,0.97674,0.87363,0.51516,0.37407,0.87791,0.0013664,0.0013664,0.0013664
18,2465.3,0.60314,0.42752,0.91055,0.95209,0.94993,0.97745,0.87277,0.5186,0.364,0.88073,0.0013268,0.0013268,0.0013268
19,2594.68,0.58776,0.41449,0.90665,0.93799,0.92991,0.97231,0.8667,0.50718,0.38006,0.87361,0.0012872,0.0012872,0.0012872
20,2723.68,0.5921,0.4098,0.90529,0.94533,0.93505,0.96936,0.87218,0.48023,0.37022,0.86011,0.0012476,0.0012476,0.0012476
21,2852.63,0.57811,0.40884,0.90375,0.95473,0.94332,0.97697,0.87681,0.50355,0.36157,0.8686,0.001208,0.001208,0.001208
22,2980.91,0.57345,0.39756,0.90291,0.95672,0.94446,0.97803,0.88924,0.47511,0.34117,0.8627,0.0011684,0.0011684,0.0011684
23,3109.69,0.56825,0.40013,0.89995,0.93763,0.94993,0.97375,0.87832,0.47754,0.34871,0.86113,0.0011288,0.0011288,0.0011288
24,3238.5,0.56827,0.39092,0.89939,0.96035,0.93791,0.97679,0.88514,0.48079,0.35502,0.86242,0.0010892,0.0010892,0.0010892
25,3367.15,0.55482,0.38811,0.89582,0.96512,0.94214,0.97758,0.88756,0.46651,0.3377,0.85826,0.0010496,0.0010496,0.0010496
26,3492.56,0.54955,0.38153,0.89498,0.96398,0.94682,0.98036,0.89618,0.45681,0.33619,0.85341,0.00101,0.00101,0.00101
27,3615.65,0.54386,0.38096,0.89101,0.95676,0.94793,0.97804,0.89576,0.45972,0.33402,0.85752,0.0009704,0.0009704,0.0009704
28,3738.1,0.54299,0.37243,0.88978,0.96188,0.94341,0.97886,0.8969,0.45768,0.33121,0.85569,0.0009308,0.0009308,0.0009308
